Name,Description,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Chair,Members,Legislation,Vice Chair,Secretary
Education & Youth,education-youth,67862665b3b1f5be4415d1c4,67843d70a45f9d8484be0987,678d2b588064ce7ba047575a,false,false,Sun Jan 19 2025 16:42:00 GMT+0000 (Coordinated Universal Time),Sat Feb 08 2025 02:29:02 GMT+0000 (Coordinated Universal Time),Sat Feb 08 2025 02:29:02 GMT+0000 (Coordinated Universal Time),hickman-billy,payne-chuck; powell-sims-freddie; bearden-timothy; dixon-clint; dolezal-greg; halpern-sonya; hatchett-bo; james-donzella; kemp-rashaun; parent-elena; setzler-ed; still-shawn; hickman-billy,,hickman-billy,powell-sims-freddie
Health and Human Services,health-and-human-services,67862665b3b1f5be4415d1c4,67843d70a45f9d8484be0987,67a6df2faa234d97b13088f6,false,false,Sat Feb 08 2025 04:35:59 GMT+0000 (Coordinated Universal Time),Sat Feb 08 2025 04:35:59 GMT+0000 (Coordinated Universal Time),Sat Feb 08 2025 04:35:59 GMT+0000 (Coordinated Universal Time),watson-ben,watson-ben; kirkpatrick-kay; setzler-ed; brass-matt; cowsert-bill; halpern-sonya; harrell-sally; hatchett-bo; hodges-mike; hufstetler-chuck; kennedy-john-f; lucas-david; mangham-randal; merritt-nikki; orrock-nan; strickland-brian; walker-iii-larry,,kirkpatrick-kay,setzler-ed
Insurance and Labor,insurance-and-labor,67862665b3b1f5be4415d1c4,67843d70a45f9d8484be0987,67a6e9bf5e5c1e5ae400f9ad,false,false,Sat Feb 08 2025 05:21:03 GMT+0000 (Coordinated Universal Time),Sat Feb 08 2025 05:21:40 GMT+0000 (Coordinated Universal Time),Sun Feb 09 2025 08:53:39 GMT+0000 (Coordinated Universal Time),walker-iii-larry,walker-iii-larry; harbin-marty; kirkpatrick-kay; cowsert-bill; gooch-steve; harbison-ed; hodges-mike; lucas-david; merritt-nikki; robertson-randy; still-shawn,,harbin-marty,kirkpatrick-kay
Judiciary,judiciary,67862665b3b1f5be4415d1c4,67843d70a45f9d8484be0987,67a6e27c7ecb0bfaeaaeae3a,false,false,Sat Feb 08 2025 04:50:04 GMT+0000 (Coordinated Universal Time),Sat Feb 08 2025 04:50:04 GMT+0000 (Coordinated Universal Time),Sat Feb 08 2025 04:50:04 GMT+0000 (Coordinated Universal Time),strickland-brian,strickland-brian; cowsert-bill; kennedy-john-f; dolezal-greg; gooch-steve; hatchett-bo; jones-ii-harold; parent-elena; rhett-michael; still-shawn; tillery-blake; watson-ben,,cowsert-bill,kennedy-john-f
Public Safety,public-safety,67862665b3b1f5be4415d1c4,67843d70a45f9d8484be0987,67bba8c14b9e40c89deec2bb,false,false,Sun Feb 23 2025 23:01:21 GMT+0000 (Coordinated Universal Time),Sun Feb 23 2025 23:01:21 GMT+0000 (Coordinated Universal Time),Sun Feb 23 2025 23:01:21 GMT+0000 (Coordinated Universal Time),albers-john,bearden-timothy; goodman-russ; halpern-sonya; jackson-kim; jones-ii-harold; payne-chuck; strickland-brian; wicks-kenya,,robertson-randy,williams-rick
Rules,rules,67862665b3b1f5be4415d1c4,67843d70a45f9d8484be0987,67a9dbd84baa1e6f3fe15dde,false,false,Mon Feb 10 2025 10:58:32 GMT+0000 (Coordinated Universal Time),Mon Feb 10 2025 10:58:32 GMT+0000 (Coordinated Universal Time),Mon Feb 10 2025 10:58:32 GMT+0000 (Coordinated Universal Time),brass-matt,brass-matt; watson-ben; cowsert-bill; albers-john; anavitarte-jason; anderson-lee; beach-brandon; dixon-clint; dolezal-greg; ginn-frank; gooch-steve; harbison-ed; hufstetler-chuck; jackson-kim; jones-ii-harold; kennedy-john-f; rhett-michael; robertson-randy; walker-iii-larry; williams-rick,,watson-ben,cowsert-bill
