Type,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On
Book Ban,book-ban,6786326e580b0a1bf7df444f,67843d70a45f9d8484be0987,6786327d721c6dcf9f759d04,false,false,Tue Jan 14 2025 09:46:37 GMT+0000 (Coordinated Universal Time),Tue Jan 14 2025 09:46:37 GMT+0000 (Coordinated Universal Time),Tue Jan 14 2025 09:54:05 GMT+0000 (Coordinated Universal Time)
DEI Ban,dei-ban,6786326e580b0a1bf7df444f,67843d70a45f9d8484be0987,67863289b3b1f5be4423c1f7,false,false,Tue Jan 14 2025 09:46:49 GMT+0000 (Coordinated Universal Time),Tue Jan 14 2025 09:46:49 GMT+0000 (Coordinated Universal Time),Tue Jan 14 2025 09:54:05 GMT+0000 (Coordinated Universal Time)
Don't Say Gay,dont-say-gay,6786326e580b0a1bf7df444f,67843d70a45f9d8484be0987,678632b61e47eec764075067,false,false,Tue Jan 14 2025 09:47:34 GMT+0000 (Coordinated Universal Time),Tue Jan 14 2025 09:47:34 GMT+0000 (Coordinated Universal Time),Tue Jan 14 2025 09:54:05 GMT+0000 (Coordinated Universal Time)
Drag Ban,drag-ban,6786326e580b0a1bf7df444f,67843d70a45f9d8484be0987,678632c20b42845df081f0d7,false,false,Tue Jan 14 2025 09:47:46 GMT+0000 (Coordinated Universal Time),Tue Jan 14 2025 09:47:46 GMT+0000 (Coordinated Universal Time),Tue Jan 14 2025 09:54:05 GMT+0000 (Coordinated Universal Time)
License to Discriminate,license-to-discriminate,6786326e580b0a1bf7df444f,67843d70a45f9d8484be0987,67a6e3a5f92df27fefc73165,false,false,Sat Feb 08 2025 04:55:01 GMT+0000 (Coordinated Universal Time),Sat Feb 08 2025 04:55:01 GMT+0000 (Coordinated Universal Time),Sat Feb 08 2025 04:55:01 GMT+0000 (Coordinated Universal Time)
Sports Ban,sports-ban,6786326e580b0a1bf7df444f,67843d70a45f9d8484be0987,678632cad7559d2800a7410c,false,false,Tue Jan 14 2025 09:47:54 GMT+0000 (Coordinated Universal Time),Tue Jan 14 2025 09:47:54 GMT+0000 (Coordinated Universal Time),Tue Jan 14 2025 09:54:05 GMT+0000 (Coordinated Universal Time)
Trans Bathroom Ban,trans-bathroom-ban,6786326e580b0a1bf7df444f,67843d70a45f9d8484be0987,678632fb237571649f7017f8,false,false,Tue Jan 14 2025 09:48:43 GMT+0000 (Coordinated Universal Time),Tue Jan 14 2025 09:48:43 GMT+0000 (Coordinated Universal Time),Tue Jan 14 2025 09:54:05 GMT+0000 (Coordinated Universal Time)
